,Screener,Tenure,TimeManaging,CloudUser,OnPremise,LocationUnk,UsedFree,UsedPersonal,UsedGrants,EmployerPaid,PaymentUnk,PersonalCost,MultipleProcessors,NoSigProject,SigTeamSize,SigYear,SigComponent,SigCost,SigGPUs,SuccessData,SuccessTeamSize,SuccessTalent,SuccessCompute,SameProject,CompTeamSize,CompYear,CompComponent,CompCost,CompGPUs,TopPriority,NeedChanges,AccessChanges,ComputeReject,ComputeRevise,ComputeAbandon,DataReject,DataRevise,DataAbandon,ResearcherReject,ResearcherRevise,ResearcherAbandon,PastData,PastCompute,PastAlgorithms,PastResearchers,PastSupport,FutureData,FutureCompute,FutureAlgorithms,FutureResearchers,FutureSupport,ContributionConcern,WantsData,WantsCompute,WantsStaff,WantsGrants,WantsStandards,Sector,ConsideredLeaving,LeavingSalary,LeavingData,LeavingCompute,LeavingProjects,LeavingContribution,CompanySize,Education,CV,Robotics,NLP,RL,Other,ImageRecognition,SaliencyDetection,ImageSegmentation,ObjectTracking,FacialRecognition,AutonomousVehicles,ImageOrVideoGeneration,CaptioningAndSummarization,Reconstruction,CVOther,Localization,Mapping,Manipulation,SLAM,Navigation,AutonomousDriving,RobotPerception,ContinuousControlRobotics,RoboticsOther,CommonSenseInference,ComputerVisionAndNLP,CrossLingualTasks,Dialogue,InformationExtraction,LanguageAndKnowledgeBases,LanguageModeling,MachineTranslation,NamedEntityRecognition,OCR,NLPOther,PartOfSpeechTagging,QuestionAnswering,SentimentAnalysis,Summarization,TextClassification,TextGeneration,ContinuousControlRL,ProgramLearning,EnvironmentsWithLanguage,ProcedurallyGeneratedEnvironments,GamePlaying,3DWorlds,SimulationDesign,RLOther,RecommenderSystems,Speech,TimeSeriesData,MusicAndAudio,GraphAnalysis,AlgorithmicOrArchitectureAnalysis,NoneofThese,PrioritySimplified
0,1.0,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.0,,2.0,5.0,,,,4.0,2.0,4.0,4.0,1.0,3.0,3.0,,,3.0,Collecting more data,3.0,3.0,,1.0,0.0,1.0,1.0,1.0,,,3.0,3.0,4.0,,4.0,3.0,,3.0,4.0,3.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,Academia,0.0,,2.0,,,,>500 Employees,,0.0,,0.0,0.0,1.0,,,,0.0,,0.0,,,,1.0,,,,,,,0.0,0.0,1.0,,,0.0,,,0.0,,,1.0,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,
1,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,,1.0,4.0,2.0,2.0,3.0,,3.0,4.0,1.0,1.0,2.0,6.0,1.0,1.0,,Hiring more programmers or engineers,3.0,3.0,,3.0,0.0,,3.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,,3.0,2.0,,1.0,0.0,1.0,,1.0,0.0,Academia,0.0,,3.0,,4.0,,,,0.0,,1.0,0.0,,,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,0.0,0.0,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,Talent
2,3.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,2.0,2.0,,,1.0,,,3.0,3.0,0.0,2.0,,3.0,2.0,,Purchasing more or higher-quality compute,2.0,3.0,1.0,,3.0,1.0,3.0,,2.0,2.0,0.0,4.0,4.0,3.0,3.0,,4.0,,2.0,,3.0,4.0,,,0.0,0.0,0.0,Academia,,,3.0,,,,,,,,1.0,0.0,,1.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,1.0,,,,,,,0.0,,,,,,,,0.0,,
3,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,,,4.0,2.0,3.0,5.0,,0.0,,4.0,1.0,1.0,6.0,2.0,,4.0,,1.0,3.0,2.0,,0.0,2.0,3.0,0.0,2.0,1.0,,4.0,,,,2.0,4.0,4.0,3.0,4.0,,0.0,0.0,,1.0,0.0,,Academia,,,3.0,2.0,,4.0,>500 Employees,,1.0,0.0,,0.0,1.0,,,0.0,,,,,,,,0.0,,,,,,,1.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,1.0,,,Compute
4,2.0,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,1.0,,1.0,2.0,1.0,,4.0,3.0,,3.0,3.0,,1.0,3.0,1.0,4.0,3.0,Purchasing more or higher-quality compute,2.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,,,,,3.0,4.0,2.0,4.0,1.0,,3.0,1.0,1.0,0.0,,1.0,,0.0,Industry,1.0,,,,,3.0,,,1.0,0.0,,0.0,0.0,,,,0.0,,0.0,1.0,0.0,0.0,,,,0.0,,,,,,,1.0,,,,1.0,,,0.0,,,,,,,0.0,1.0,1.0,,,,,,,,,1.0,,1.0,0.0,1.0,1.0,,Compute
5,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,,,,6.0,2.0,,2.0,4.0,2.0,,3.0,1.0,1.0,6.0,2.0,2.0,,,3.0,4.0,,2.0,,3.0,2.0,1.0,4.0,,2.0,2.0,4.0,1.0,3.0,,3.0,3.0,4.0,,4.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,,,,,5.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,1.0,,,,0.0,,,0.0,,,,1.0,,0.0,0.0,,
6,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.0,,1.0,6.0,3.0,0.0,,2.0,2.0,,2.0,1.0,,6.0,2.0,,,,4.0,,1.0,0.0,,0.0,,0.0,1.0,,3.0,,4.0,4.0,4.0,4.0,3.0,,,,0.0,2.0,,,,1.0,1.0,Academia,,3.0,3.0,,,,,,0.0,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,
7,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,,4.0,1.0,3.0,,,,3.0,2.0,1.0,1.0,4.0,2.0,1.0,,,,,2.0,0.0,0.0,1.0,3.0,3.0,4.0,2.0,,,4.0,,4.0,4.0,4.0,4.0,,2.0,2.0,3.0,1.0,1.0,0.0,,,Academia,0.0,,,,,,,6.0,1.0,1.0,,,1.0,,,,1.0,,1.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,1.0,,,,,,,0.0,,,1.0,,,,,0.0,,,,,0.0,,,1.0,,0.0,Compute
8,1.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,1.0,6.0,2.0,3.0,,4.0,1.0,3.0,,1.0,1.0,6.0,,3.0,1.0,Collecting more data,2.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,Academia,1.0,,,3.0,0.0,0.0,,6.0,0.0,,0.0,,1.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,,0.0,,,,,1.0,,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,
9,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,,1.0,6.0,3.0,2.0,3.0,3.0,,3.0,3.0,,1.0,4.0,2.0,,1.0,Collecting more data,4.0,,4.0,,0.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,4.0,,4.0,2.0,3.0,4.0,3.0,2.0,,1.0,,0.0,,1.0,0.0,,1.0,3.0,,0.0,0.0,3.0,,6.0,0.0,,0.0,1.0,,,,,,,1.0,1.0,,0.0,0.0,,,,,,,,,,0.0,,1.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,1.0,0.0,,,1.0,Talent
